theme,title,to,from,description
1학기,공군사관학교 입학식·진급식,2021-03-02 00:00:00,2021-03-02 12:00:00,공군사관학교 입학식·진급식
1학기,공군사관학교 개교기념일,2021-06-10 00:00:00,2021-06-10 12:00:00,공군사관학교 개교기념일
1학기,공군사관학교 1학기 기말시험,2021-06-21 00:00:00,2021-06-24 12:00:00,공군사관학교 1학기 기말시험
하계 군사훈련 / 하계 휴가,공군사관학교 하계군사훈련,2021-06-25 00:00:00,2021-07-23 12:00:00,공군사관학교 하계군사훈련
하계 군사훈련 / 하계 휴가,공군사관학교 선발 1차시험,2021-07-31 00:00:00,2021-07-31 12:00:00,공군사관학교 선발 1차시험
하계 군사훈련 / 하계 휴가,공군사관학교 하계 휴가,2021-07-31 00:00:00,2021-08-29 12:00:00,공군사관학교 하계 휴가
2학기,공군사관학교 선발 2차시험,2021-08-30 00:00:00,2021-10-08 12:00:00,공군사관학교 선발 2차시험
2학기,공군사관학교 총동창회,2021-10-16 00:00:00,2021-10-16 12:00:00,공군사관학교 총동창회
2학기,공군사관학교 성무제,2021-10-27 00:00:00,2021-10-29 12:00:00,공군사관학교 성무제
2학기,공군사관학교 2학기 기말시험,2021-12-27 00:00:00,2021-12-30 12:00:00,공군사관학교 2학기 기말시험
동계 군사훈련 / 동계 휴가,공군사관학교 동계휴가,2021-12-31 00:00:00,2022-02-06 12:00:00,공군사관학교 동계휴가
동계 군사훈련 / 동계 휴가,공군사관학교 기초군사훈련,2022-02-07 00:00:00,2022-02-18 12:00:00,공군사관학교 기초군사훈련
동계 군사훈련 / 동계 휴가,공군사관학교 동계학기,2022-02-07 00:00:00,2022-02-18 12:00:00,공군사관학교 동계학기
입시,공군사관학교 원서접수,2021-06-25 09:00:00,2021-07-05 12:00:00,공군사관학교 원서접수
입시,공군사관학교 1차시험,2021-07-31 00:00:00,2021-07-31 12:00:00,공군사관학교 1차시험
입시,공군사관학교 1차시험 성적확인 및 지원확정/포기,2021-08-06 09:00:00,2021-08-10 12:00:00,공군사관학교 1차시험 성적확인 및 지원확정/포기
입시,공군사관학교 1차시험 합격자 발표,2021-08-17 09:00:00,2021-08-17 09:00:00,공군사관학교 1차시험 합격자 발표
입시,공군사관학교 2차시험 등록서류 제출,2021-08-17 09:00:00,2021-08-20 12:00:00,공군사관학교 2차시험 등록서류 제출
입시,공군사관학교 AI 면접,2021-08-17 09:00:00,2021-08-29 12:00:00,공군사관학교 AI 면접
입시,공군사관학교 1차 시험 추가 합격자 발표,2021-08-24 09:00:00,2021-08-24 09:00:00,공군사관학교 1차 시험 추가 합격자 발표
입시,공군사관학교 1차 시험 추가 합격자 등록서류 제출,2021-08-24 09:00:00,2021-08-27 12:00:00,공군사관학교 1차 시험 추가 합격자 등록서류 제출
입시,공군사관학교 2차 시험 기간,2021-08-30 09:00:00,2021-10-08 12:00:00,공군사관학교 2차 시험
입시,공군사관학교 결과발표,2021-11-12 09:00:00,2021-11-12 09:00:00,공군사관학교 우선선발 합격자 결과발표
입시,공군사관학교 결과발표,2021-12-17 09:00:00,2021-12-17 09:00:00,공군사관학교 종합선발 합격자 결과발표
입시,공군사관학교 결과발표,2021-12-24 09:00:00,2021-12-24 09:00:00,공군사관학교 1차 추가 합격자 결과발표
입시,공군사관학교 결과발표,2021-12-31 09:00:00,2021-12-31 09:00:00,공군사관학교 2차 추가 합격자 결과발표
