전공명,과목구분,과목명
국제관계학,필수,정치학개론
국제관계학,필수,국제관계사
국제관계학,필수,비교정치론
국제관계학,필수,한국정치와 외교
국제관계학,필수,정치학방법론
국제관계학,필수,궁제정치론
국제관계학,필수,국제정치경제론
국제관계학,필수,외교정책결정론
국제관계학,필수,국제갈등론
국제관계학,심화,동아시아국제관계사
국제관계학,심화,국제기구
국제관계학,심화,정치과정론
국제관계학,심화,기술과 정치변동
국제관계학,심화,비전통안보연구
국제관계학,심화,정치경제론
국제관계학,심화,미국정치론
국제관계학,심화,러시아정치론
국제관계학,심화,북한정치와 사회
국제관계학,심화,중국정치론
국제관계학,심화,일본정치론
국제관계학,심화,유럽정치론
국제관계학,심화,국제사회쟁점연구
국제관계학,심화,한미관계연구
국제관계학,심화,남북관계연구
국방경영학,필수,경영학개론
국방경영학,필수,인적자원관리
국방경영학,필수,경영정보시스템
국방경영학,필수,경영전략
국방경영학,필수,조직행위론
국방경영학,필수,미시경제학
국방경영학,필수,회계원리
국방경영학,필수,재무관리 
국방경영학,필수,생산관리
국방경영학,필수,거시경제학
국방경영학,심화,경영협상론
국방경영학,심화,윤리경영
국방경영학,심화,공공경제학
국방경영학,심화,경영과학
국방경영학,심화,마케팅
국방경영학,심화,현대경영이론
국방경영학,심화,조직개발과 혁신
국방경영학,심화,국제경영
국방경영학,심화,게임이론
국방경영학,심화,사회과학연구방법론
국방경영학,심화,경영자료분석론
국방경영학,심화,계량경제학
국방경영학,심화,국방혁신연구
국방경영학,심화,국방경제연구
국방경영학,심화,국방경영연구
항공우주정책학,필수,행정법
항공우주정책학,필수,행정학개론
항공우주정책학,필수,항공안전 및 보안법
항공우주정책학,필수,국제법
항공우주정책학,필수,공항운영관리론
항공우주정책학,필수,항공우주정채론
항공우주정책학,필수,정책과정론
항공우주정책학,필수,항공교통개론
항공우주정책학,필수,공역체계관리론
항공우주정책학,필수,항공안전론
항공우주정책학,심화,항공운송관리
항공우주정책학,심화,항공보안론
항공우주정책학,심화,항공우주법특수문제연구
항공우주정책학,심화,항공기 제원 및 성능
항공우주정책학,심화,항공물류개론
항공우주정책학,심화,항공우주정책사례연구
항공우주정책학,심화,항공운송법
항공우주정책학,심화,항공통신
항공우주정책학,심화,항공우주기상학
항공우주정책학,심화,정책분석론
항공우주정책학,심화,항행안전시설 및 공중항법
항공우주정책학,심화,항공우주산업론
항공우주정책학,심화,갈등관리론
항공우주정책학,심화,감항인증
컴퓨터과학,필수,프로그래밍기초
컴퓨터과학,필수,자료구조
컴퓨터과학,필수,알고리즘
컴퓨터과학,필수,데이터베이스
컴퓨터과학,필수,인공지능
컴퓨터과학,필수,이산수학
컴퓨터과학,필수,데이터통신
컴퓨터과학,필수,네트워크프로그래밍
컴퓨터과학,필수,컴퓨터구조론
컴퓨터과학,필수,시스템프로그래밍
컴퓨터과학,심화,운영체제
컴퓨터과학,심화,임베디드시스템응용
컴퓨터과학,심화,컴퓨터 융합응용
컴퓨터과학,심화,데이터과학(빅데이터)
컴퓨터과학,심화,클라우드&웹컴퓨팅응용
컴퓨터과학,심화,해킹과 방어실습
컴퓨터과학,심화,정보보호론
컴퓨터과학,심화,시스템 보안
컴퓨터과학,심화,암호학 및 실습
컴퓨터과학,심화,네트워크 보안
항공우주공학,필수,공업수학I
항공우주공학,필수,열역학
항공우주공학,필수,항공역학 및 실험
항공우주공학,필수,분사추진기관
항공우주공학,필수,항공우주공학실험
항공우주공학,필수,재료역학
항공우주공학,필수,동역학
항공우주공학,필수,항공우주비행체
항공우주공학,필수,항공우주 수치해석
항공우주공학,필수,구조역학
항공우주공학,필수,항공우주제어공학
항공우주공학,심화,압축성유체역학
항공우주공학,심화,항공기 구조설계
항공우주공학,심화,항공기 엔진설계
항공우주공학,심화,비행동역학 및 제어
항공우주공학,심화,점성유체역학
항공우주공학,심화,항공열전달
항공우주공학,심화,압축성유체역학
항공우주공학,심화,전산항공공학
항공우주공학,심화,극초음속 공기역학
항공우주공학,심화,우주역학
항공우주공학,심화,유도항법
항공우주공학,심화,우주비행체 열전달
항공우주공학,심화,로켓공학
항공우주공학,심화,인공위성시스템
항공우주공학,심화,인공위성 자세제어
항공우주공학,심화,우주항법시스템
기계공학,필수,공업수학I
기계공학,필수,열역학
기계공학,필수,유체역학
기계공학,필수,기계재료학
기계공학,필수,기계공학실험
기계공학,필수,고체역학
기계공학,필수,공학 수치해석
기계공학,필수,공업역학
기계공학,필수,컴퓨터이용 기계설계 및 실습
기계공학,필수,컴퓨터이용 가공 및 제작
기계공학,심화,응용유체역학
기계공학,심화,소음공학
기계공학,심화,자동화시스템 연구
기계공학,심화,기계학습
기계공학,심화,생체공학
기계공학,심화,에너지시스템 연구
기계공학,심화,기전공학
기계공학,심화,유한요소해석
기계공학,심화,기계진동학
기계공학,심화,전산유체역학
기계공학,심화,제어공학
기계공학,심화,가스터빈공학
기계공학,심화,열전달
기계공학,심화,로봇공학
전자통신공학,필수,공업수학Ⅰ
전자통신공학,필수,프로그래밍 방법론
전자통신공학,필수,전자기학
전자통신공학,필수,통신공학 및 실험
전자통신공학,필수,레이더공학
전자통신공학,필수, 회로이론
전자통신공학,필수, 전기전자회로
전자통신공학,필수, 디지털 공학
전자통신공학,필수, 신호 및 시스템
전자통신공학,필수, 전자공학실험
전자통신공학,심화,전자장
전자통신공학,심화,초고주파공학 및 실험
전자통신공학,심화,무선공학 및 실험
전자통신공학,심화, 디지털 신호처리
전자통신공학,심화, 디지털 영상처리 및 실험
전자통신공학,심화, 지능 시스템 및 실험
전자통신공학,심화, 로봇공학개론
전자통신공학,심화, 디지털 통신 시스템
전자통신공학,심화, 아날로그 전자회로
전자통신공학,심화, 전자공학설계
전자통신공학,심화, 광전자공학
전자통신공학,심화, 전자전과 미래전
시스템공학,필수,컴퓨터프로그래밍
시스템공학,필수,공업수학Ⅰ
시스템공학,필수,경제성공학
시스템공학,필수,인간공학 및 실험
