theme,title,to,from,description
입시,국군간호사관학교 원서접수,2021-06-18 09:00:00,2021-06-28 12:00:00,국군간호사관학교 원서접수
입시,국군간호사관학교 1차시험,2021-07-31 00:00:00,2021-07-31 12:00:00,국군간호사관학교 1차시험
입시,국군간호사관학교 1차시험 성적확인 및 2차시험 지원확정,2021-08-06 09:00:00,2021-08-10 11:59:00,국군간호사관학교 1차시험 성적확인 및 2차시험 지원확정
입시,국군간호사관학교 1차시험 합격자 발표,2021-08-16 09:00:00,2021-08-16 09:00:00,국군간호사관학교 1차시험 합격자 발표
입시,국군간호사관학교 1차시험 추가합격자 발표,2021-08-25 09:00:00,2021-08-25 09:00:00,국군간호사관학교 1차시험 추가합격자 발표
입시,국군간호사관학교 2차시험 등록서류 제출,2021-08-16 09:00:00,2021-08-20 12:00:00,국군간호사관학교 2차시험 등록서류 제출
입시,국군간호사관학교 2차시험 등록서류 추가제출,2021-08-25 09:00:00,2021-08-30 12:00:00,국군간호사관학교 2차시험 등록서류 추가제출
입시,국군간호사관학교 AI 면접,2021-09-02 09:00:00,2021-09-07 12:00:00,국군간호사관학교 AI 면접
입시,국군간호사관학교 조 편성 공지 및 조정,2021-09-08 09:00:00,2021-09-10 09:00:00,국군간호사관학교 조 편성 공지 및 조정
입시,국군간호사관학교 시험기간,2021-09-13 09:00:00,2021-10-08 14:00:00,개인별 1일\, 신체검사\, 체력검정\, 면접\, 인성검사
입시,국군간호사관학교 2차시험 및 우선선발 합격자 발표,2021-11-09 09:00:00,2021-11-09 09:00:00,국군간호사관학교 2차시험 및 우선선발 합격자 발표
입시,국군간호사관학교 특별전형 서류접수,2021-11-09 09:00:00,2021-11-16 12:00:00,국군간호사관학교 특별전형 서류접수(우편)
입시,국군간호사관학교 결과발표,2021-12-24 09:00:00,2021-12-24 09:00:00,국군간호사관학교 결과발표
입시,국군간호사관학교 1차 추가 합격자 결과발표,2021-12-31 09:00:00,2021-12-31 09:00:00,국군간호사관학교 1차 추가 합격자 결과발표
입시,국군간호사관학교 2차 추가 합격자 결과발표,2022-01-07 09:00:00,2022-01-07 09:00:00,국군간호사관학교 2차 추가 합격자 결과발표
