전공명,과목구분,과목명
전공과정(96학점),전공/기초(자연과학),기초의학총론
전공과정(96학점),전공/기초(자연과학),인체구조와 기능
전공과정(96학점),전공/기초(자연과학),임상약리학
전공과정(96학점),전공/기초(자연과학),병태생리학
전공과정(96학점),전공/기초(인문사회과학),돌봄의 철학
전공과정(96학점),전공/기초(인문사회과학),인간성장 발달론
전공과정(96학점),전공/기초(인문사회과학),의사소통과 인간관계
전공과정(96학점),전공/기초(인문사회과학),상담심리학
전공과정(96학점),전공/필수,간호학의 이해
전공과정(96학점),전공/필수,간호이론
전공과정(96학점),전공/필수,기본간호학 / 실습
전공과정(96학점),전공/필수,건강사정 및 실습
전공과정(96학점),전공/필수,성인간호학 / 실습
전공과정(96학점),전공/필수,응급환자 간호실습
전공과정(96학점),전공/필수,중환자간호실습
전공과정(96학점),전공/필수,간호연구
전공과정(96학점),전공/필수,정신간호학 / 실습
전공과정(96학점),전공/필수,여성건강간호학 / 실습
전공과정(96학점),전공/필수,아동간호학 / 실습
전공과정(96학점),전공/필수,지역사회간호학 / 실습
전공과정(96학점),전공/필수,간호관리학 / 실습
전공과정(96학점),전공/필수,OSCE & CPX
전공과정(96학점),전공/필수,통합간호세미나
전공과정(96학점),전공/필수,보건의료법규
전공과정(96학점),전공/필수,간호윤리세미나
전공과정(96학점),전공/필수,노인과 호스피스간호
전공과정(96학점),전공/선택,병원CS관리(리더과정)
전공과정(96학점),전공/선택,안전 / 감염관리
전공과정(96학점),전공/선택,근거기반 간호실무(EBP)
전공과정(96학점),전공/선택,보건통계학
전공과정(96학점),전공/선택,보건정책세미나
전공과정(96학점),전공/선택,국제간호
교양과정(33학점),교양/필수,간호와 리더십
교양과정(33학점),교양/필수,General English Ⅰ
교양과정(33학점),교양/필수,General English Ⅱ
교양과정(33학점),교양/필수,Introduction to English writing
교양과정(33학점),교양/필수,English Essay writing
교양과정(33학점),교양/필수,군간호실무영어
교양과정(33학점),교양/필수,태권도
교양과정(33학점),교양/필수,생활수영
교양과정(33학점),교양/필수,생활체육
교양과정(33학점),교양/필수,체력육성
교양과정(33학점),교양/필수,컴퓨터와 코딩
교양과정(33학점),교양/필수,컴퓨터 활용
교양과정(33학점),교양/필수,한국의 역사
교양과정(33학점),교양/필수,글쓰기
교양과정(33학점),교양/필수,심리학개론
교양과정(33학점),교양/필수,기초통계학
교양과정(33학점),교양/필수,성인지 리더십의 이해와 실천
교양과정(33학점),교양/선택,예술과 미학의 세계
교양과정(33학점),교양/선택,서양역사의 이해
교양과정(33학점),교양/선택,인류학
교양과정(33학점),교양/선택,고전읽기
교양과정(33학점),교양/선택,문화유산
교양과정(33학점),교양/선택,한국어(수탁생)
교양과정(33학점),교양/선택,English reading & discussion
교양과정(33학점),교양/선택,Advanced General English
교양과정(33학점),교양/선택,중국어
교양과정(33학점),교양/선택,일본어
교양과정(33학점),교양/선택,교육심리(교직)
교양과정(33학점),교양/선택,언론의 이해
교양과정(33학점),교양/선택,생활법률
교양과정(33학점),교양/선택,세계평화와 국제관계의 이해
교양과정(33학점),교양/선택,정치학개론
교양과정(33학점),교양/선택,Language & English literature
교양과정(33학점),교양/선택,교양철학
교양과정(33학점),교양/선택,학교폭력예방 및 학생의 이해
군사학과정(19학점),군사 이론,군사학개론
군사학과정(19학점),군사 이론,북한학
군사학과정(19학점),군사 이론,전쟁사
군사학과정(19학점),군사 이론,군사사상 및 전략
군사학과정(19학점),군사 이론,교관화교수법
군사학과정(19학점),군 간호학,군간호학개론
군사학과정(19학점),군 간호학,재난과 휴머니즘
군사학과정(19학점),군 간호학,재난/응급간호훈련
군사학과정(19학점),군 간호학,항공/해양간호훈련
군사학과정(19학점),군 간호학,군보건정책과 건강증진
군사학과정(19학점),군 간호학,군응급 및 외상간호
군사학과정(19학점),군 간호학,전투외상간호훈련
군사학과정(19학점),군 간호학,전투스트레스 관리
군사학과정(19학점),군 간호학,군간호 즉응력강화훈련
교직과정(22학점),교직,교육학개론
교직과정(22학점),교직,교육심리
교직과정(22학점),교직,교육철학 및 교육사
교직과정(22학점),교직,교육과정
교직과정(22학점),교직,교육행정 및 교육경영
교직과정(22학점),교직,교직실무
교직과정(22학점),교직,교육방법 및 교육공학
교직과정(22학점),교직,학교폭력의 예방 및 학생의 이해
교직과정(22학점),교직,특수교육학개론
교직과정(22학점),교직,학교현장실습
교직과정(22학점),교직,교육봉사활동
상담과정(5학점),내용,심리학개론
상담과정(5학점),내용,심리검사 및 평가
상담과정(5학점),내용,임상심리학
상담과정(5학점),내용,이상심리학
상담과정(5학점),내용,임상심리슈퍼비전
상당학점교육(35학점),내용,장병기본훈련
상당학점교육(35학점),내용,전투기술 숙달훈련
상당학점교육(35학점),내용,분대전투
상당학점교육(35학점),내용,병체험훈련
상당학점교육(35학점),내용,유격훈련
상당학점교육(35학점),내용,영어집중교육
상당학점교육(35학점),내용(훈육),리더십역량 진단
상당학점교육(35학점),내용(훈육),생도생활평가
상당학점교육(35학점),내용(훈육),소양평가
