전공명,과목구분,과목명
영어학과,필수,영어영문학개론
영어학과,필수,영어강독
영어학과,필수,연합실무영어
영어학과,필수,미국전쟁사연구
영어학과,선택,기본영어회화
영어학과,선택,대화전략
영어학과,선택,영어프리젠테이션
영어학과,선택,영어토론
영어학과,선택, 영어문법
영어학과,선택, 영어청취
영어학과,선택, 미국역사의 이해
영어학과,선택, 시사영어
영어학과,선택, 영어작문
아랍어,필수,기초아랍어
아랍어,필수,아랍어문법과작문
아랍어,필수,중동아군사연구
아랍어,필수,군사아랍어
아랍어,선택,중동아문화개론
아랍어,선택,아랍어와중동사회
아랍어,선택,중급아랍어회화
아랍어,선택,고급아랍어회화
아랍어,선택, 기초아랍어회화
아랍어,선택, 초급아랍어회화
아랍어,선택, 시사아랍어
아랍어,선택, 미디어아랍어
아랍어,선택, 아랍어강독
일본어,필수,기초일본어
일본어,필수,일본어문법과작문
일본어,필수,일본군사연구
일본어,필수,군사일본어
일본어,선택,일본문화개론
일본어,선택,일본어와일본사회
일본어,선택,중급일본어회화
일본어,선택,고급일본어회화
일본어,선택, 기초일본어회화
일본어,선택, 초급일본어회화
일본어,선택, 시사일본어
일본어,선택, 미디어일본어
일본어,선택, 일본어강독
중국어,필수,기초중국어
중국어,필수,중국어문법과작문
중국어,필수,중국군사연구
중국어,필수,군사중국어
중국어,선택,중국문화개론
중국어,선택,중국어와중국사회
중국어,선택,중급중국어회화
중국어,선택,고급중국어회화
중국어,선택, 기초중국어회화
중국어,선택, 초급중국어회화
중국어,선택, 시사중국어
중국어,선택, 미디어중국어
중국어,선택, 중국어강독
프랑스어,필수,기초프랑스어
프랑스어,필수,프랑스어문법과작문
프랑스어,필수,프랑스군사연구
프랑스어,필수,군사프랑스어
프랑스어,선택,프랑스문화개론
프랑스어,선택,프랑스어와프랑스사회
프랑스어,선택,중급프랑스어회화
프랑스어,선택,고급프랑스어회화
프랑스어,선택, 기초프랑스어회화
프랑스어,선택, 초급프랑스어회화
프랑스어,선택, 시사프랑스어
프랑스어,선택, 미디어프랑스어
프랑스어,선택, 프랑스어강독
군사사학,필수,군사학연구방법론
군사사학,필수,한민족전쟁사
군사사학,필수,세계전쟁사
군사사학,필수,6·25전쟁사
군사사학,선택,동양사의이해
군사사학,선택,서양사의이해
군사사학,선택,무기발달사
군사사학,선택,군사제도사
군사사학,선택, 제4세대전쟁
군사사학,선택, 전쟁론
군사사학,선택, 동양전략사상사
군사사학,선택, 서양전략사상사
군사사학,선택, 지역분쟁연구
군사사학,선택, 전쟁론
군사사학,선택, 동양전략사상사
군사사학,선택, 서양전략사상사
군사사학,선택, 지역분쟁연구
상담심리학,필수,심리학개론
상담심리학,필수,상담이론과 실제
상담심리학,필수,집단상담
상담심리학,필수,군사심리학
상담심리학,선택,심리측정
상담심리학,선택,심리연구방법론
상담심리학,선택,사회심리학
상담심리학,선택,문화심리학
상담심리학,선택, 조직심리학
상담심리학,선택, 성격심리학
상담심리학,선택, 학습심리학
상담심리학,선택, 심리검사
상담심리학,선택, 발달심리학
경영학,필수,경영통계론
경영학,필수,경제학원론
경영학,필수,경영과학
경영학,필수,경영의사결정론
경영학,선택,경영학원론
경영학,선택,마케팅
경영학,선택,조직행동론
경영학,선택,생산운영관리
경영학,선택, 경영전략 및 혁신
경영학,선택, 재무 및 회계원리
경영학,선택, 원가관리회계
경영학,선택, 리더십 진단과 개발
경영학,선택, 인적자원관리
경제학,필수,경제학원론
경제학,필수,경영통계
경제학,필수,미시경제론
경제학,필수,거시경제론
경제학,선택,화폐금융론
경제학,선택,공공경제론
경제학,선택,북한경제론
경제학,선택,방위산업론
경제학,선택, 한국경제론 
경제학,선택, 계량경제론
경제학,선택, 국방의사경정론
경제학,선택, 게임이론
경제학,선택, 국방획득계약론
북한학,필수,국제관계론
북한학,필수,현대정치이념론
북한학,필수,북한사상론
북한학,필수,북한정권사
북한학,선택,한국공산주의운동사
북한학,선택,북한군사론
북한학,선택,분단국통일사례연구
북한학,선택,북한인권론
북한학,선택, 북한정치론
북한학,선택, 통일학입문
북한학,선택, 북한외교론
북한학,선택, 통일문제연구
북한학,선택, 북한사회론
국제관계학,필수,국제관계론
국제관계학,필수,현대정치이념론
국제관계학,필수,동북아 안보론
국제관계학,필수,국방정책론
국제관계학,선택,국제기구론
국제관계학,선택,국제분쟁과 협력
국제관계학,선택,외교정책론
국제관계학,선택,비교정치론
국제관계학,선택, 정치학원론
국제관계학,선택, 한미동맹론
국제관계학,선택, 국제정치이론
국제관계학,선택, 안보협력론
국제관계학,선택, 국제정치사
국제관계학,필수,국방인적자원관리론
행정학,필수,국방조직론
행정학,필수,행정법
행정학,필수,국방예산론
행정학,선택,행정학원론
행정학,선택,행정과 커뮤니테이션
행정학,선택,국가정책론
행정학,선택,행정개혁론
행정학,선택, 국방재난관리론
행정학,선택, 군사행정실무론
행정학,선택, 군복지실무론 
행정학,선택, 정책평가론
행정학,선택, 행정조사방법론
법학,필수,민사법특강
법학,필수,장병인권론
법학,필수,인적자원관리론
법학,필수,군형법이론과 연습
법학,선택, 계약법
법학,선택,형사법특강Ⅰ
법학,선택,형사법특강Ⅱ
법학,선택,군인사법
법학,선택,전쟁법
법학,선택, 통치구조론
법학,선택, 행정법입문
법학,선택, 물권법
법학,선택, 형사소송연습
기계공학,필수,기계공학개론
기계공학,필수,차량공학
기계공학,필수,병기공학
기계공학,필수,방탄공학
기계공학,선택,열역학
기계공학,선택,재료역학
기계공학,선택,유체력학
기계공학,선택,전산구조역학
기계공학,선택, 공업수학
기계공학,선택, CAD/CAE
기계공학,선택, 로봇공학
기계공학,선택, 기계공학실험
기계공학,선택, 기계가공학
무기시스템,필수,기초공학통계
무기시스템,필수,시스템공학개론
무기시스템,필수,시스템공학응용
무기시스템,필수,시스템분석 / 설계
무기시스템,선택,기술관리학
무기시스템,선택,기술정보분석
무기시스템,선택,데이터마이닝
무기시스템,선택,데이터분석실습
무기시스템,선택, 경제성공학
무기시스템,선택, 인간공학시스템
무기시스템,선택, 인간공학응용
무기시스템,선택, 시스템최적화
무기시스템,선택, 생산관리
건설공학,필수,응용구조역학
건설공학,필수,환경수리공학
건설공학,필수,측량학 및 실습
건설공학,필수,지형정보학
건설공학,선택,토목공학개론
건설공학,선택,철근콘크리트 및 강구조
건설공학,선택,건축설비
건설공학,선택,지반공학
건설공학,선택, 건설재료 및 실습
