theme,title,to,from,description
1학기,육군사관학교 입·진학식,2021-02-26 00:00:00,2021-02-26 12:00:00,육군사관학교 입·진학식
1학기,육군사관학교 졸업 및 임관식,2021-03-02 00:00:00,2021-03-02 12:00:00,육군사관학교 졸업 및 임관식
1학기,육군사관학교 1학기 중간시험,2021-04-15 00:00:00,2021-04-20 12:00:00,육군사관학교 1학기 중간시험
1학기,육군사관학교 고교방문 입시홍보,2021-04-21 00:00:00,2021-04-23 12:00:00,육군사관학교 고교방문 입시홍보
1학기,육군사관학교 개교기념일,2021-05-01 00:00:00,2021-05-01 12:00:00,육군사관학교 개교기념일
1학기,육군사관학교 생도의 날,2021-05-20 00:00:00,2021-05-21 12:00:00,육군사관학교 생도의 날
1학기,육군사관학교 1학기 기말시험,2021-06-15 00:00:00,2021-06-18 12:00:00,육군사관학교 1학기 기말시험
하계 군사훈련 / 하계 휴가,육군사관학교 하계군사훈련,2021-06-21 00:00:00,2021-07-30 12:00:00,육군사관학교 하계군사훈련
하계 군사훈련 / 하계 휴가,육군사관학교 생도선발 1차시험,2021-07-31 00:00:00,2021-07-31 12:00:00,육군사관학교 생도선발 1차시험
하계 군사훈련 / 하계 휴가,육군사관학교 하계휴가,2021-07-31 00:00:00,2021-08-21 12:00:00,육군사관학교 하계휴가
2학기,육군사관학교 화랑제,2021-10-06 00:00:00,2021-10-08 12:00:00,육군사관학교 화랑제
2학기,육군사관학교 2학기 중간시험,2021-10-28 00:00:00,2021-11-02 12:00:00,육군사관학교 2학기 중간시험
2학기,육군사관학교 2학기 기말시험,2021-12-21 00:00:00,2021-12-24 12:00:00,육군사관학교 2학기 기말시험
동계 군사훈련 / 동계 휴가,육군사관학교 동계휴가,2021-12-25 00:00:00,2022-01-22 12:00:00,육군사관학교 동계휴가
동계 군사훈련 / 동계 휴가,육군사관학교 화랑기초훈련,2022-01-21 00:00:00,2022-02-25 12:00:00,육군사관학교 화랑기초훈련
동계 군사훈련 / 동계 휴가,육군사관학교 동계교육,2022-01-24 00:00:00,2022-02-18 12:00:00,육군사관학교 동계교육
입시,육군사관학교 원서접수,2021-06-25 09:00:00,2021-07-05 12:00:00,육군사관학교 원서접수
입시,육군사관학교 1차 시험,2021-07-31 00:00:00,2021-07-31 12:00:00,육군사관학교 1차 시험
입시,육군사관학교 1차 합격자 발표,2021-08-17 09:00:00,2021-08-17 09:00:00,육군사관학교 1차 합격자 발표
입시,육군사관학교 2차 서류 제출,2021-08-17 00:00:00,2021-08-23 12:00:00,육군사관학교 2차 서류 제출
입시,육군사관학교 2차 시험 기간,2021-09-02 00:00:00,2021-10-22 12:00:00,면접\, 체력검정\, 신체검사
입시,육군사관학교 결과발표,2021-11-12 09:00:00,2021-11-12 09:00:00,육군사관학교 결과발표
입시,육군사관학교 결과발표,2021-12-24 09:00:00,2021-12-24 09:00:00,육군사관학교 결과발표
입시,육군사관학교 결과발표,2022-01-06 09:00:00,2022-01-06 09:00:00,육군사관학교 결과발표
입시,육군사관학교 결과발표,2022-01-13 09:00:00,2022-01-13 09:00:00,육군사관학교 결과발표
