전공명,과목구분,과목명
智仁勇(13+),필수 智,영어집중교육
智仁勇(13+),필수 智,64 독서프로그램
智仁勇(13+),필수 智,1인 1군사공학 팀프로젝트
智仁勇(13+),필수 仁,리더십 개발활동
智仁勇(13+),필수 仁,성인지력·양성평등
智仁勇(13+),필수 仁,화랑대 교양강좌 등
智仁勇(13+),필수 勇,생도춤형체력단련
智仁勇(13+),필수 勇,도전형 군사훈련
智仁勇(13+),필수 勇,장교학
교양(36+),기초,Academic English
교양(36+),기초,과학적 사고와 실험
교양(36+),기초,논리적 글쓰기
교양(36+),기초,미분적분학(수탁생도: 기초수학)
교양(36+),기초,통계의 이해
교양(36+),기초,프로그래밍 기초
교양(36+),기초,한국사
교양(36+),선택,언어와 철학
교양(36+),선택,인간과 사회
교양(36+),선택,자연과 생명
교양(36+),선택,기술과 환경
군사학전공(63+),선택,Military English
군사학전공(63+),선택,국가안보론
군사학전공(63+),선택,국방 ICT
군사학전공(63+),선택,군사공학
군사학전공(63+),선택,군사이론I
군사학전공(63+),선택,군사이론II
군사학전공(63+),선택,미래무기체계
군사학전공(63+),선택,리더십
군사학전공(63+),선택,전쟁의 역사
군사학전공(63+),선택,헌법과 민주시민
군사학전공(63+),인문계열/필수,국방과 경제
군사학전공(63+),인문계열/필수,국방전략세미나
군사학전공(63+),인문계열/필수,군사전략 입문
군사학전공(63+),인문계열/필수,북한의 이해
군사학전공(63+),인문계열/필수,한반도의 전쟁
군사학전공(63+),인문계열/필수,국방경영학
군사학전공(63+),인문계열/필수,군대문화의 이해
군사학전공(63+),인문계열/필수,군사법
군사학전공(63+),인문계열/필수,스트레스와 건강
군사학전공(63+),인문계열/필수,지휘관리세미나
군사학전공(63+),자연계열/필수,군사과학세미나
군사학전공(63+),자연계열/필수,군사화학
군사학전공(63+),자연계열/필수,레이저 개론
군사학전공(63+),자연계열/필수,사이버전
군사학전공(63+),자연계열/필수,전략적 국방분석
군사학전공(63+),자연계열/필수,국방 M&S
군사학전공(63+),자연계열/필수,군사지리기상
군사학전공(63+),자연계열/필수,군전자통신
군사학전공(63+),자연계열/필수,무기공학
군사학전공(63+),자연계열/필수,방호공학
군사학전공(63+),선택,경제전과 협상전략
군사학전공(63+),선택,국제법
군사학전공(63+),선택,군대혁신의 역사
군사학전공(63+),선택,군비통제와 WMD
군사학전공(63+),선택,내전과 UNPKO의 이해
군사학전공(63+),선택,역사 속 전쟁과 예술
군사학전공(63+),선택,이행기 경제와 경제체제론
군사학전공(63+),선택,현대전쟁 연구
군사학전공(63+),선택,War in Media
군사학전공(63+),선택,과학적 의사결정
군사학전공(63+),선택,국방획득과 방위산업
군사학전공(63+),선택,군대와 사회
군사학전공(63+),선택,군대와 정신병리
군사학전공(63+),선택,군사실무영어실습
군사학전공(63+),선택,군사심리학
군사학전공(63+),선택,미디어와 전략커뮤니케이션
군사학전공(63+),선택,상담과 코칭
군사학전공(63+),선택,전쟁법
군사학전공(63+),선택,전쟁철학
군사학전공(63+),선택,WMD 이해와 실제 I-화생무기
군사학전공(63+),선택,WMD 이해와 실제 II-핵무기
군사학전공(63+),선택,국방자료분석
군사학전공(63+),선택,국방자료시각화
군사학전공(63+),선택,군 위험물 취급과 안전관리
군사학전공(63+),선택,군사생리
군사학전공(63+),선택,군사암호의 이해
군사학전공(63+),선택,군사음향학
군사학전공(63+),선택,레일건 이론 및 설계
군사학전공(63+),선택,머신러닝의 국방활용
군사학전공(63+),선택,수학적전투모델이론
군사학전공(63+),선택,우주의 군사적 활용
군사학전공(63+),선택,정보보안의 군사적 활용
군사학전공(63+),선택,정보보호 알고리즘
군사학전공(63+),선택,핵에너지 개론
군사학전공(63+),선택,C4ISR
군사학전공(63+),선택,국방기술특론
군사학전공(63+),선택,국방로봇
군사학전공(63+),선택,국방지형정보체계
군사학전공(63+),선택,군사 OR
