theme,title,to,from,description
입시,해군사관학교 원서접수 기간,2021-06-25 09:00:00,2021-07-05 12:00:00,해군사관학교 원서접수
입시,해군사관학교 1차시험,2021-07-31 00:00:00,2021-07-31 12:00:00,해군사관학교 1차시험
입시,해군사관학교 1차시험 성적확인,2021-08-06 09:00:00,2021-08-08 15:00:00,해군사관학교 1차시험 성적확인
입시,해군사관학교 1차시험 합격자 발표,2021-08-11 09:00:00,2021-08-11 09:00:00,해군사관학교 1차시험 합격자 발표\, 추가합격자 발표 및 서류 등록 별도 공지
입시,해군사관학교 2차시험 등록서류 제출,2021-08-11 09:00:00,2021-08-16 12:00:00,해군사관학교 2차시험 등록서류 제출
입시,해군사관학교 2차 시험,2021-08-30 09:00:00,2021-10-20 12:00:00,해군사관학교 2차 시험\, 8월 말 ~ 10월 중순\, 별도 공지
입시,해군사관학교 결과발표,2021-11-04 09:00:00,2021-11-04 09:00:00,해군사관학교 우선선발 합격자 결과발표\, 추가 합격자 별도 공지
입시,해군사관학교 우선선발 합격자 등록,2021-11-04 09:00:00,2021-11-09 12:00:00,해군사관학교 우선선발 합격자 등록
입시,해군사관학교 결과발표,2021-12-21 09:00:00,2021-12-21 09:00:00,해군사관학교 결과발표
입시,해군사관학교 종합선발 합격자 등록,2021-12-21 09:00:00,2021-12-24 12:00:00,해군사관학교 종합선발 합격자 등록\, 추가 합격자 별도 공지
