theme,school,army,address,web,phone
강원,가톨릭관동대,147학군단,강원도 강릉시 내곡동 범일로579번길 24,http://cms6.cku.ac.kr/user/indexSub.do?codyMenuSeq=2455&siteId=rotc,033-649-7901
강원,강릉원주대,163학군단,강원도 강릉시 경포동 죽헌길 7,https://www.gwnu.ac.kr/kor/25952/subview.do,033-640-2650
강원,강원대,127학군단,강원도 춘천시 효자동 강원대학길 1 KR,https://www.kangwon.ac.kr/www/contents.do?key=1995&,033-250-7301
강원,경동대,220학군단,강원도 원주시 문막읍 견훤로 815,https://kduniv.ac.kr/rotc/,031-869-9787
강원,상지대,156학군단,강원도 원주시 우산동 상지대길 83 KR,https://www.sangji.ac.kr/rotc/index.do,033-730-0686
강원,연세대(원주),1071학군단,강원도 원주시 흥업면 연세대길 1,https://www.yonsei.ac.kr/wj/campus/etc1.jsp,033-760-2547
강원,한림대,171학군단,강원도 춘천시 한림대학길 1,https://www.facebook.com/HallymROTC/,033-248-3781
경기,가천대,151학군단,경기도 성남시 수정구 성남대로 1342,http://myhome.gachon.ac.kr/rotc/,031-750-5436
경기,강남대,205학군단,경기도 용인시 기흥구 구갈동 강남로 40,https://rotc.kangnam.ac.kr/,031-899-7181
경기,경희대(국제),1081학군단,경기도 용인시 기흥구 영덕동 덕영대로 1732,https://www.khu.ac.kr/kor/sub/tab.do?MENU_SEQ=192&TAB_SEQ=2105882,031-201-3271
경기,단국대,125학군단,경기도 용인시 수지구 죽전1동 죽전로 152,https://cms.dankook.ac.kr/web/rotc125,031-8005-2812
경기,대진대,208학군단,경기도 포천시 선단동 호국로 1007 KR 대진대학교,http://rotc.daejin.ac.kr/rotcindex.do,031-539-2361
경기,명지대,130학군단,경기도 용인시 처인구 명지로 116,https://rotc.mju.ac.kr/user/indexMain.action?command=&siteId=rotc,031-330-6133
경기,성균관대(수원),1031학군단,경기도 수원시 장안구 율천동 서부로 2066,https://www.skku.edu/skku/campus/support/rotc.do,031-290-5301
경기,수원대,158학군단,경기도 화성시 봉담읍 와우안길 17,https://www.suwon.ac.kr/index.html?menuno=2770,031-220-2444
