행 번호,년도,학교,전체 경쟁률,남자 경쟁률,여자 경쟁률
1,2009,육군사관학교,20.2:1,18.3:1,37.5:1
2,2009,해군사관학교,25.8:1,23.2:1,48.4:1
3,2009,공군사관학교,23.2:1,21.0:1,45.4:1
4,2009,간호사관학교,29.0:1,-,29.0:1
5,2009,육군 3사관학교,3.1:1,3.1:1,-
6,2010,육군사관학교,23.8:1,21.9:1,40.4:1
7,2010,해군사관학교,27.7:1,24.4:1,58.0:1
8,2010,공군사관학교,23.4:1,21.0:1,47.6:1
9,2010,간호사관학교,30.7:1,-,30.7:1
10,2010,육군 3사관학교,2.8:1,2.8:1,-
11,2011,육군사관학교,21.9:1,20.2:1,37.1:1
12,2011,해군사관학교,26.1:1,23.4:1,50.3:1
13,2011,공군사관학교,26.1:1,23.8:1,49.8:1
14,2011,간호사관학교,42.6:1,94.3:1,37.2:1
15,2011,육군 3사관학교,3.4:1,3.4:1,-
16,2012,육군사관학교,22.1:1,20.4:1,37.8:1
17,2012,해군사관학교,27.2:1,24.4:1,52.2:1
18,2012,공군사관학교,25.7:1,23.1:1,51.4:1
19,2012,간호사관학교,38.3:1,51.0:1,36.9:1
20,2012,육군 3사관학교,3.9:1,3.9:1,-
21,2013,육군사관학교,20.6:1,18.1:1,43.3:1
22,2013,해군사관학교,30.5:1,26.6:1,65.3:1
23,2013,공군사관학교,36.8:1,33.2:1,72.1:1
24,2013,간호사관학교,34.1:1,37.8:1,33.7:1
25,2013,육군 3사관학교,4.6:1,4.6:1,-
26,2014,육군사관학교,18.6:1,16.2:1,40.4:1
27,2014,해군사관학교,23.1:1,20.5:1,46.2:1
28,2014,공군사관학교,25.6:1,23.5:1,44.6:1
29,2014,간호사관학교,36.4:1,49.5:1,35.0:1
30,2014,육군 3사관학교,7.3:1,5.8:1,48.1:1
31,2015,육군사관학교,22.0:1,19.1:1,49.5:1
32,2015,해군사관학교,25.1:1,21.3:1,59.9:1
33,2015,공군사관학교,32.0:1,28.0:1,69.2:1
34,2015,간호사관학교,35.6:1,45.5:1,34.5:1
35,2015,육군 3사관학교,4.5:1,3.4:1,25.6:1
36,2016,육군사관학교,31.2:1,26.7:1,72.5:1
37,2016,해군사관학교,29.4:1,25.4:1,65.5:1
38,2016,공군사관학교,39.0:1,34.2:1,83.6:1
39,2016,간호사관학교,51.7:1,52.9:1,58.2:1
40,2016,육군 3사관학교,5.2:1,3.9:1,34.8:1
41,2017,육군사관학교,32.8:1,27.1:1,85.3:1
42,2017,해군사관학교,39.0:1,33.6:1,87.7:1
43,2017,공군사관학교,38.6:1,33.0:1,90.4:1
44,2017,간호사관학교,50.0:1,62.1:1,48.8:1
45,2017,육군 3사관학교,6.7:1,5.0:1,43.4:1
46,2018,육군사관학교,34.2:1,28.1:1,78.1:1
47,2018,해군사관학교,38.5:1,33.5:1,75.4:1
48,2018,공군사관학교,39.4:1,33.3:1,92.5:1
49,2018,간호사관학교,47.7:1,62.1:1,46.1:1
50,2018,육군 3사관학교,6.1:1,4.3:1,14.3:1
51,2019,육군사관학교,44.4:1,35.2:1,111.2:1
52,2019,해군사관학교,25.1:1,20.7:1,58.2:1
53,2019,공군사관학교,48.7:1,40.6:1,120.2:1
54,2019,간호사관학교,44.3:1,66.7:1,41.9:1
55,2019,육군 3사관학교,6.0:1,4.5:1,19.8:1
